subID	modeli	name	Mp	delta	wp	nll	nllsd	success	iterations
13	4	dDNb	99.0973554700613	0.677716795064043	0.00692256703041494	350.696683870982	0.0326448791071936	1	22
13	5	dDNd	96.9425684044659	0.830910416559573	8.86402629074468e-09	350.66508868413	0.0369768751215477	1	20
14	1	McFadden	7.7621969910943	-0.0967840589134738	NaN	168.154242364348	0.0393832999995769	1	23
14	2	LinearDistrb	6.76704643343828	0.0235660648528295	NaN	168.811273255685	0.0343010557579774	1	17
14	3	DN	7.72473335266113	-0.0606712341308594	0	168.224555259047	0.0355884883678674	2	16
14	4	dDNb	6.78667449951172	-0.00187835693359376	0	168.806724365525	0.0472468557402375	1	22
14	5	dDNd	6.62648391723633	0.0540477752685547	0	168.81227760486	0.0456121956206128	2	20
15	1	McFadden	13.8213882446289	0.0569421291351318	NaN	327.867569899556	0.0355467271115512	2	16
15	2	LinearDistrb	13.5966362953186	0.0384803771972656	NaN	327.653370670498	0.0321444713016992	2	15
15	3	DN	2.04890966415405e-08	0.0874132806900889	0.337239187397063	321.716320754602	0.0265018765565957	2	27
15	4	dDNb	7.05718994140625e-05	0.0415227890014648	0.330752563476562	321.146581266361	0.0363438031442858	2	11
15	5	dDNd	0.0010986328125	0.0754241943359375	0.3259033203125	321.193829850127	0.0383851843143014	2	16
16	1	McFadden	12.3493271195003	-0.398623014004949	NaN	329.87914175319	0.0333012776828687	1	24
16	2	LinearDistrb	12.5963101139457	-0.411207011742079	NaN	331.091519867839	0.0247585515711312	1	18
16	3	DN	12.98681640625	-0.41611328125	0	329.878014545058	0.0314703013396819	2	18
16	4	dDNb	12.8426849860698	-0.433222374785692	0	331.128953822069	0.033035163558985	2	16
16	5	dDNd	12.2307670488954	-0.401240140013397	0	331.10904793277	0.0297330523012789	2	19
17	1	McFadden	31.1477418857394	-0.126357092510443	NaN	260.638859744425	0.0341344200043837	1	17
17	2	LinearDistrb	30.7463866868056	-0.118278993060812	NaN	260.527666692249	0.0327642243008881	2	17
17	3	DN	0.000835838007333223	-0.0462258390685747	0.23527512616929	245.890870504661	0.0303983908351284	1	31
17	4	dDNb	4.76837158203125e-07	-0.0311873912811279	0.241333961486816	248.338524428236	0.032024113782734	2	20
17	5	dDNd	2.27373675443232e-13	-0.0106766410932323	0.235230938642394	248.338617417854	0.0439010249227163	2	18
18	1	McFadden	44.0753326416016	-0.473548889160156	NaN	234.231307623653	0.0371991320442641	2	12
18	2	LinearDistrb	42.9435005187988	-0.461645889282227	NaN	235.706563504103	0.0487842205574872	2	15
18	3	DN	25.7782861590385	-0.438331250101328	0.136070662736893	233.759059896851	0.0317678643861686	2	15
18	4	dDNb	26.247480087249	-0.453149921966744	0.13498309638847	235.219681560538	0.0375943965399269	1	21
18	5	dDNd	25.4985046386719	-0.439978790283203	0.131378173828125	235.199405830302	0.0394272640750249	2	14
19	1	McFadden	2.34114742279053	-0.231864976882935	NaN	222.460824707553	0.0280509467584399	2	16
19	2	LinearDistrb	2.13766659796238	-0.59998509734869	NaN	219.096670763411	0.0279653775692862	1	24
19	3	DN	2.3643432976678	-0.245442782435566	0	222.441393243695	0.0299202166685091	2	26
19	4	dDNb	2.15699734613099	-0.588220439093266	0	218.993073284703	0.0314050232801867	2	20
19	5	dDNd	2.13796997070312	-0.558963012695313	0	219.170990882456	0.0351861655310678	2	13
