subID	Model	eta	Mp	wp	nll
35	4	1	7.589744e+00	-1.842105e-01	1.642505e+02
35	5	1	5.128205e+00	-2.631579e-02	1.642592e+02
35	6	1	7.589744e+00	-1.842105e-01	1.641835e+02
35	7	1	5.128205e+00	-2.631579e-02	1.644362e+02
36	1	3.487179e+00	NaN	NaN	1.867051e+02
36	2	3.487179e+00	NaN	NaN	1.932814e+02
36	3	1	-6.153846e-01	3.947368e-01	1.663788e+02
36	4	1	-2.051282e-01	3.421053e-01	1.771859e+02
36	5	1	2.051282e-01	2.894737e-01	1.806096e+02
36	6	1	2.051282e-01	2.894737e-01	1.782507e+02
