subID	Model	eta	Mp	wp	nll
48	7	1	6.458424e-01	2.531646e-01	2.654391e+02
49	1	2.693889e+01	NaN	NaN	3.466145e+02
49	2	2.693889e+01	NaN	NaN	3.454895e+02
49	3	1	1.594159e-01	7.848101e-01	3.204311e+02
49	4	1	1.123655e-01	7.848101e-01	3.236775e+02
49	5	1	1.123655e-01	8.607595e-01	3.218087e+02
49	6	1	1.000000e-01	8.860759e-01	3.231001e+02
49	7	1	1.000000e-01	9.113924e-01	3.211959e+02
50	1	1.460686e+00	NaN	NaN	2.236566e+02
50	2	1.460686e+00	NaN	NaN	2.245148e+02
50	3	1	7.257040e-01	1.012658e-01	2.224124e+02
50	4	1	1.156888e+00	2.531646e-02	2.240429e+02
50	5	1	4.552268e-01	1.265823e-01	2.228046e+02
50	6	1	1.156888e+00	2.531646e-02	2.243091e+02
50	7	1	2.012785e-01	1.518987e-01	2.229405e+02
51	1	6.649436e+00	NaN	NaN	2.540912e+02
51	2	5.266462e+00	NaN	NaN	2.548114e+02
51	3	1	1.262600e-01	5.822785e-01	1.984050e+02
51	4	1	1.262600e-01	5.063291e-01	2.052971e+02
51	5	1	1.418727e-01	5.316456e-01	2.125431e+02
51	6	1	1.000000e-01	4.810127e-01	2.160246e+02
51	7	1	2.012785e-01	5.063291e-01	2.222428e+02
52	1	2.133605e+01	NaN	NaN	3.472302e+02
52	2	2.133605e+01	NaN	NaN	3.477668e+02
52	3	1	2.133605e+01	0	3.469240e+02
52	4	1	7.471671e+00	3.037975e-01	3.476565e+02
52	5	1	1.503887e+01	1.012658e-01	3.475960e+02
52	6	1	1.338389e+01	1.518987e-01	3.475795e+02
52	7	1	2.133605e+01	0	3.478834e+02
53	1	2.072315e+00	NaN	NaN	1.603726e+02
53	2	1.156888e+00	NaN	NaN	1.464307e+02
53	3	1	1.000000e-01	3.544304e-01	1.315429e+02
53	4	1	2.541343e-01	2.025316e-01	1.372627e+02
53	5	1	1.262600e-01	2.278481e-01	1.358445e+02
53	6	1	1.262600e-01	2.025316e-01	1.368065e+02
53	7	1	1.418727e-01	2.025316e-01	1.363063e+02
54	1	8.899530e+02	NaN	NaN	3.584716e+02
54	2	7.048574e+02	NaN	NaN	3.586059e+02
54	3	1	3.501900e+02	4.810127e-01	3.580791e+02
54	4	1	3.934927e+02	1.898734e+00	3.580920e+02
54	5	1	4.421500e+02	2	3.580843e+02
54	6	1	3.116527e+02	1.898734e+00	3.580949e+02
54	7	1	3.116527e+02	1.392405e+00	3.581976e+02
55	1	4.171125e+00	NaN	NaN	2.261449e+02
55	2	1.029576e+00	NaN	NaN	2.313371e+02
