subID	TimeConstraint	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
21	1.5	2	dDNd	1	0.200290304844384	1	1	190.542499327238	0.0648174786846678	1	21
22	10	1	dDNb	1	0.527992662647739	1	1	180.57129289997	0.0841184801532478	2	21
22	10	2	dDNd	1	0.489408735185862	1	1	181.662558816927	0.07115405259406	2	17
22	1.5	1	dDNb	1	0.425826740264893	1	1	166.267639171163	0.0696303969725851	1	27
22	1.5	2	dDNd	1	0.390625	1	1	168.992358421273	0.0690087738696874	2	14
23	10	1	dDNb	1	0.102890777587891	1	1	87.4382850966354	0.0651582687356237	2	12
23	10	2	dDNd	1	0.101494598388672	1	1	86.5459284886521	0.0509977525869304	2	12
23	1.5	1	dDNb	1	0.214243793487549	1	1	131.977623704057	0.0696433947280803	2	9
23	1.5	2	dDNd	1	0.210794687271118	1	1	131.634628409189	0.0615459194103165	2	11
24	10	1	dDNb	1	0.049609375	1	1	144.951148039695	0.0894209799036632	2	13
24	10	2	dDNd	1	0.038330078125	1	1	125.870196512222	0.0671844985641876	2	13
24	1.5	1	dDNb	1	0.000537109374999956	1	1	98.07698069076	0.0565582200709487	2	15
24	1.5	2	dDNd	1	5.77208120372541e-06	1	1	89.8144171319848	0.0461558994652302	2	13
25	10	1	dDNb	1	0.2122802734375	1	1	128.799883074004	0.0617963340565776	2	10
25	10	2	dDNd	1	0.20821533203125	1	1	128.899425610785	0.0903732635877419	2	10
25	1.5	1	dDNb	1	0.278820596821606	1	1	143.393430960711	0.073757663746907	2	17
25	1.5	2	dDNd	1	0.272265625	1	1	143.475215983998	0.079573839122148	2	10
26	10	1	dDNb	1	0.0763430595397949	1	1	42.1856548106141	0.0766169931392605	2	14
26	10	2	dDNd	1	0.0776113913542303	1	1	42.8395237113932	0.0729861430550545	1	22
26	1.5	1	dDNb	1	0.12724609375	1	1	65.5057824964201	0.0853976789786642	2	10
26	1.5	2	dDNd	1	0.12724609375	1	1	65.8251017206359	0.0788474458357886	2	10
27	10	1	dDNb	1	0.35215224660933	1	1	171.482261925635	0.06705438816039	2	20
27	10	2	dDNd	1	0.346983135794289	1	1	171.125561290069	0.0794032089586319	2	14
27	1.5	1	dDNb	1	0.412093615531921	1	1	176.050611042639	0.0729168649441392	2	14
27	1.5	2	dDNd	1	0.410998753074091	1	1	175.847012206117	0.064891046390676	2	14
28	10	1	dDNb	1	0.1328125	1	1	92.5640299900413	0.129102663835617	1	22
28	10	2	dDNd	1	0.138733673095703	1	1	93.2082423509038	0.0811008359172554	2	15
