subID	modeli	name	eta	Mp	wp	nll	nllsd	success	iterations
11	5	dDNb	1	2.86102299185131e-07	1.47697612419724	374.198799676158	0.0328086774289477	2	18
11	6	dDNc	1	2.00817140694198e-09	1.46267964444414	353.987440801707	0.0309828642160825	2	29
11	7	dDNd	1	4.73022461022765e-05	1.54142684936523	368.338488252537	0.0379495019703988	2	15
12	1	McFadden	107.547100457549	NaN	NaN	375.137505175108	0.0337206596895664	2	17
12	2	Model2	106.677420806885	NaN	NaN	374.870420095153	0.0383527105414219	2	13
12	3	DN	1	4.73022461022765e-05	0.714522743225098	368.280854882153	0.0324952451627928	1	21
12	4	dDNa	1	2.00817140694198e-09	0.712944547063671	368.974706279271	0.0360358675239193	2	16
12	5	dDNb	1	4.73022461022765e-05	0.719234466552734	367.915152580213	0.0291253906935766	1	20
12	6	dDNc	1	9.2370555648813e-14	0.710127987778498	369.011079247684	0.0390241384767904	1	22
12	7	dDNd	1	1.06170858771293e-08	0.708159306878224	367.918179463081	0.0384045505311628	2	18
13	1	McFadden	178.888875793945	NaN	NaN	351.365234858272	0.0311281983645072	1	19
13	2	Model2	182.251922607422	NaN	NaN	351.342962352381	0.0341078952383737	2	12
13	3	DN	1	144.51070615364	0.281678773667227	351.507926966281	0.0289978665759578	1	19
13	4	dDNa	1	178.407022694452	1.16415210804632e-11	351.369273661342	0.0261520606706403	2	20
13	5	dDNb	1	190.661172786355	0.000226109474897374	351.430070568084	0.0360549474276726	2	12
13	6	dDNc	1	186.913013218694	2.83106871279415e-15	351.462657535743	0.0316285956986486	1	21
13	7	dDNd	1	168.250641707331	0.103376439772546	351.437686947251	0.0207437477371472	2	22
14	1	McFadden	10.2834432512522	NaN	NaN	168.285456011996	0.0348849420272818	2	18
14	2	Model2	9.58460557460786	NaN	NaN	168.783526137455	0.0453279513250575	2	13
14	3	DN	1	10.4835865676403	5.9604644553346e-09	168.358439730576	0.0354063223327983	2	18
14	4	dDNa	1	9.66988110542298	4.76837158092103e-08	168.757662077668	0.0374496151915588	2	17
14	5	dDNb	1	9.52519626915456	7.45058015283462e-10	168.805277749561	0.0451383402719609	1	19
14	6	dDNc	1	9.49730834960938	3.05175781245559e-06	168.785526589271	0.0467115799561495	2	13
14	7	dDNd	1	9.59117259122432	9.31322241548571e-11	168.778809703815	0.0487800669884871	2	22
15	1	McFadden	19.9975181438029	NaN	NaN	327.851858505727	0.032366403859563	2	17
15	2	Model2	19.5172512363595	NaN	NaN	327.678741067932	0.0307772141887165	2	15
15	3	DN	1	9.2370555648813e-14	0.49320929537533	321.758616469599	0.0356499697741339	1	23
15	4	dDNa	1	2.86102299185131e-07	0.468804585933685	320.322441866754	0.0291051124982298	2	11
15	5	dDNb	1	2.86102299185131e-07	0.487540474534035	321.976663488546	0.0286819919514258	1	19
15	6	dDNc	1	2.86102299185131e-07	0.470224396884441	320.246064226235	0.0272514054977748	2	21
15	7	dDNd	1	2.86102299185131e-07	0.480807781219482	321.920284729134	0.0222320440160085	2	15
16	1	McFadden	14.0834158182144	NaN	NaN	333.448213789974	0.0356121682183355	1	26
16	2	Model2	13.6954885542393	NaN	NaN	334.067447878945	0.0312336872732011	2	15
16	3	DN	1	14.1003496190533	4.58396971214636e-07	333.453115005895	0.030723825602371	2	17
16	4	dDNa	1	13.8672238349915	4.76837158092103e-08	334.087766118053	0.0290460590782114	2	11
