subID	modeli	eta	Mp	wp	nll
30	2	4.64E+01	NaN	NaN	2.18E+02
30	3	1	9.43E+01	-4.81E-01	2.07E+02
30	4	1	9.43E+01	-4.81E-01	2.09E+02
30	5	1	9.43E+01	-4.81E-01	2.08E+02
30	6	1	9.43E+01	-4.81E-01	2.09E+02
30	7	1	9.43E+01	-4.81E-01	2.08E+02
31	1	1000	NaN	NaN	3.69E+02
31	2	1000	NaN	NaN	3.69E+02
31	3	1	6.24E+02	-1.85E+00	3.68E+02
31	4	1	7.90E+02	1.90E+00	3.68E+02
31	5	1	7.90E+02	6.84E-01	3.68E+02
31	6	1	6.24E+02	1.34E+00	3.68E+02
31	7	1	7.90E+02	-1.14E+00	3.68E+02
32	1	8.89E+00	NaN	NaN	3.16E+02
32	2	7.02E+00	NaN	NaN	3.13E+02
32	3	1	-1.06E+00	6.84E-01	2.98E+02
32	4	1	-1.34E+00	6.33E-01	2.93E+02
32	5	1	-4.12E-01	5.82E-01	2.97E+02
32	6	1	-1.34E+00	6.84E-01	2.93E+02
32	7	1	1.27E-01	5.32E-01	2.97E+02
33	1	-1.34E+00	NaN	NaN	3.72E+02
33	2	-1.70E+00	NaN	NaN	3.72E+02
33	3	1	-1.70E+00	1.85E+00	3.71E+02
33	4	1	-1.34E+00	-1.34E+00	3.71E+02
33	5	1	-3.46E+00	1.27E-01	3.71E+02
33	6	1	-1.34E+00	-7.85E-01	3.71E+02
33	7	1	-1.06E+00	-1.80E+00	3.71E+02
34	1	4.38E+00	NaN	NaN	1.70E+02
34	2	4.38E+00	NaN	NaN	1.68E+02
34	3	1	3.46E+00	7.59E-02	1.68E+02
34	4	1	-6.61E-01	2.28E-01	1.56E+02
34	5	1	-8.38E-01	2.28E-01	1.59E+02
34	6	1	-5.22E-01	2.28E-01	1.59E+02
34	7	1	-5.22E-01	2.28E-01	1.59E+02
35	1	4.38E+00	NaN	NaN	1.63E+02
35	2	4.38E+00	NaN	NaN	1.65E+02
35	3	1	4.38E+00	2.53E-02	1.63E+02
35	4	1	7.02E+00	-1.77E-01	1.64E+02
35	5	1	4.38E+00	2.53E-02	1.64E+02
35	6	1	5.54E+00	-7.59E-02	1.64E+02
35	7	1	4.38E+00	2.53E-02	1.65E+02
36	1	3.46E+00	NaN	NaN	1.87E+02
36	2	3.46E+00	NaN	NaN	1.93E+02
36	3	1	-8.38E-01	4.30E-01	1.66E+02
36	4	1	-1.60E-01	3.29E-01	1.77E+02
36	5	1	1.27E-01	2.78E-01	1.80E+02
36	6	1	2.03E-01	3.29E-01	1.78E+02
36	7	1	2.03E-01	2.78E-01	1.80E+02
37	1	5.88E+01	NaN	NaN	3.82E+02
37	2	5.88E+01	NaN	NaN	3.83E+02
37	3	1	1.19E+02	-1.90E+00	3.80E+02
37	4	1	1.19E+02	-1.70E+00	3.82E+02
37	5	1	1.19E+02	-1.65E+00	3.80E+02
37	6	1	1.19E+02	-1.49E+00	3.82E+02
37	7	1	1.19E+02	-1.75E+00	3.80E+02
38	1	8.89E+00	NaN	NaN	2.70E+02
38	2	8.89E+00	NaN	NaN	2.73E+02
38	3	1	-2.57E-01	4.30E-01	2.68E+02
38	4	1	7.02E+00	2.53E-02	2.73E+02
38	5	1	2.03E-01	3.80E-01	2.71E+02
38	6	1	7.02E+00	2.53E-02	2.73E+02
38	7	1	2.15E+00	2.78E-01	2.72E+02
39	1	2.89E+01	NaN	NaN	2.69E+02
39	2	2.89E+01	NaN	NaN	2.69E+02
39	3	1	1.80E+01	1.27E-01	2.69E+02
39	4	1	1.13E+01	1.77E-01	2.69E+02
39	5	1	1.13E+01	1.77E-01	2.69E+02
39	6	1	1.13E+01	1.77E-01	2.69E+02
39	7	1	1.13E+01	1.77E-01	2.68E+02
40	1	1.43E+01	NaN	NaN	1.78E+02
40	2	1.43E+01	NaN	NaN	1.78E+02
40	3	1	-6.61E-01	3.29E-01	1.60E+02
40	4	1	-2.15E+00	3.80E-01	1.57E+02
40	5	1	-1.34E+00	3.29E-01	1.59E+02
40	6	1	-1.06E+00	3.29E-01	1.57E+02
40	7	1	-1.70E+00	3.29E-01	1.60E+02
41	1	5.88E+01	NaN	NaN	3.50E+02
41	2	5.88E+01	NaN	NaN	3.50E+02
41	3	1	-9.43E+01	1.75E+00	3.47E+02
41	4	1	-8.89E+00	7.34E-01	3.49E+02
41	5	1	-4.64E+01	1.19E+00	3.48E+02
41	6	1	-3.67E+01	1.04E+00	3.49E+02
41	7	1	-4.64E+01	1.19E+00	3.48E+02
42	1	3.46E+00	NaN	NaN	2.50E+02
42	2	2.73E+00	NaN	NaN	2.50E+02
42	3	1	2.73E+00	7.59E-02	2.49E+02
42	4	1	2.15E+00	7.59E-02	2.50E+02
42	5	1	3.46E+00	-2.53E-02	2.50E+02
42	6	1	2.73E+00	2.53E-02	2.50E+02
42	7	1	2.73E+00	2.53E-02	2.50E+02
43	1	8.89E+00	NaN	NaN	2.63E+02
43	2	7.02E+00	NaN	NaN	2.64E+02
43	3	1	1.80E+01	-4.30E-01	2.60E+02
43	4	1	2.29E+01	-6.84E-01	2.58E+02
43	5	1	2.29E+01	-6.84E-01	2.59E+02
43	6	1	2.29E+01	-6.84E-01	2.58E+02
43	7	1	2.29E+01	-6.84E-01	2.59E+02
44	1	3.67E+01	NaN	NaN	2.15E+02
44	2	3.67E+01	NaN	NaN	2.21E+02
44	3	1	4.64E+01	-7.59E-02	2.15E+02
44	4	1	2.89E+01	2.53E-02	2.20E+02
44	5	1	4.64E+01	-7.59E-02	2.20E+02
44	6	1	2.89E+01	2.53E-02	2.20E+02
44	7	1	4.64E+01	-7.59E-02	2.20E+02
45	1	2.29E+01	NaN	NaN	3.27E+02
45	2	2.29E+01	NaN	NaN	3.27E+02
45	3	1	-2.29E+01	9.87E-01	3.10E+02
45	4	1	-2.29E+01	1.04E+00	3.10E+02
45	5	1	-1.80E+01	8.86E-01	3.12E+02
45	6	1	-1.80E+01	8.86E-01	3.09E+02
45	7	1	-1.80E+01	8.86E-01	3.12E+02
46	1	5.54E+00	NaN	NaN	3.63E+02
46	2	4.38E+00	NaN	NaN	3.57E+02
46	3	1	-4.38E+00	1.65E+00	3.46E+02
46	4	1	-5.22E-01	6.84E-01	3.42E+02
46	5	1	1.00E-01	6.33E-01	3.44E+02
46	6	1	1.00E-01	6.33E-01	3.44E+02
46	7	1	1.00E-01	6.33E-01	3.44E+02
47	1	3.67E+01	NaN	NaN	3.69E+02
47	2	3.67E+01	NaN	NaN	3.69E+02
47	3	1	-3.67E+01	1.70E+00	3.48E+02
47	4	1	-2.29E+01	1.24E+00	3.45E+02
47	5	1	-1.80E+01	1.14E+00	3.54E+02
47	6	1	-2.29E+01	1.24E+00	3.46E+02
47	7	1	-1.43E+01	1.04E+00	3.54E+02
48	1	1.70E+00	NaN	NaN	2.66E+02
48	2	2.15E+00	NaN	NaN	2.66E+02
48	3	1	1.13E+01	-1.85E+00	2.65E+02
48	4	1	4.12E-01	2.78E-01	2.65E+02
48	5	1	-4.38E+00	1.24E+00	2.65E+02
48	6	1	-1.06E+00	5.82E-01	2.65E+02
48	7	1	2.15E+00	-2.53E-02	2.65E+02
49	1	2.89E+01	NaN	NaN	3.47E+02
49	2	2.89E+01	NaN	NaN	3.46E+02
49	3	1	-1.43E+01	1.59E+00	3.07E+02
49	4	1	-1.43E+01	1.44E+00	3.10E+02
49	5	1	-1.13E+01	1.29E+00	3.17E+02
49	6	1	-7.02E+00	1.09E+00	3.16E+02
49	7	1	1.00E-01	8.35E-01	3.21E+02
50	1	1.70E+00	NaN	NaN	2.25E+02
50	2	1.34E+00	NaN	NaN	2.25E+02
50	3	1	5.22E-01	1.27E-01	2.22E+02
50	4	1	-2.15E+00	4.30E-01	2.07E+02
50	5	1	4.12E-01	1.27E-01	2.23E+02
50	6	1	-2.15E+00	4.30E-01	2.08E+02
50	7	1	4.12E-01	1.27E-01	2.23E+02
51	1	7.02E+00	NaN	NaN	2.55E+02
51	2	5.54E+00	NaN	NaN	2.55E+02
51	3	1	1.27E-01	5.82E-01	1.98E+02
51	4	1	-1.00E-01	5.32E-01	2.01E+02
51	5	1	2.03E-01	4.81E-01	2.12E+02
